Medicare CCN,Projected to Receive DSH in FY 2024,IHS or PR,Rural Community Hospital Demonstration,New Hospital,2018 UCC (Annualized),Length of 2018 Reporting Period,2019 UCC (Annualized),Length of 2019 Reporting Period,2020 UCC (Annualized),Length of 2020 Reporting Period,Factor 3,Total Uncompensated Care Payment,Total Supplemental Payment,Estimated Per Claim Amount, BILLS 2021 , BILLS 2022 , Claims Average 
490018,SCH,NO,NO,NO,"$13,764,812.00 ",365,"$12,551,505.00 ",365,11695360,366,0.000372964,N/A,N/A,618.79,"3,710","3,447",3579
490019,YES,NO,NO,NO,"$13,150,102.00 ",365,"$7,124,796.00 ",365,6479976,366,0.000262987,1561616,N/A,1363.86,"1,124","1,165",1145
490020,YES,NO,NO,NO,"$8,751,531.00 ",365,"$6,099,410.00 ",365,4736414,366,0.000192269,1141691.96,N/A,786.83,"1,585","1,317",1451
490021,SCH,NO,NO,NO,"$30,393,642.00 ",365,"$15,310,570.00 ",365,10037462,366,0.000547692,N/A,N/A,367.31,"9,131","8,576",8854
490022,YES,NO,NO,NO,"$33,580,688.00 ",365,"$28,338,625.00 ",365,17953739,366,0.000782959,4649217.81,N/A,602.54,"8,088","7,343",7716
490023,YES,NO,NO,NO,"$3,837,785.00 ",365,"$4,576,578.00 ",365,1415138,366,0.000096009,570103.57,N/A,537.33,"1,177",945,1061
490024,YES,NO,NO,NO,"$56,173,203.00 ",365,"$39,147,317.00 ",365,31891725,366,0.001248875,7415829.54,N/A,895.09,"8,338","8,232",8285
490032,YES,NO,NO,NO,"$136,505,777.00 ",365,"$40,273,890.57 ",366,36465022.21,365,0.002100685,12473881.42,N/A,1738.52,"7,623","6,726",7175
490033,NO,NO,NO,NO,"$5,494,521.00 ",365,"$5,164,168.00 ",365,4074152,366,0.000144456,N/A,N/A,N/A, N/A , N/A , N/A 
490037,SCH,NO,NO,NO,"$4,268,750.00 ",365,"$4,534,452.00 ",365,3930910,366,0.000124846,N/A,N/A,857.04,876,853,865
490038,YES,NO,NO,NO,"$2,380,932.00 ",365,"$1,129,954.23 ",366,1293818.02,365,0.000047276,280722.81,N/A,708.9,409,383,396
490040,YES,NO,NO,NO,"$28,211,975.00 ",365,"$28,619,757.00 ",365,28570462,366,0.00083788,4975334.28,N/A,1200.32,"4,130","4,159",4145
490041,YES,NO,NO,NO,"$8,334,297.00 ",365,"$4,216,995.59 ",366,4288466.12,365,0.000165611,983400.07,N/A,764.7,"1,412","1,159",1286
490042,YES,NO,NO,NO,"$13,492,708.00 ",365,"$9,090,831.00 ",365,6358192,366,0.000284052,1686704.65,N/A,889.14,"1,926","1,868",1897
490043,YES,NO,NO,NO,"$19,243,490.00 ",365,"$19,630,171.00 ",365,20123643,366,0.000578873,3437350.29,N/A,758.46,"4,323","4,741",4532
490044,YES,NO,NO,NO,"$20,912,979.00 ",365,"$12,600,493.00 ",365,12089554,366,0.000448141,2661066.86,N/A,760.09,"3,681","3,321",3501
490045,YES,NO,NO,NO,"$19,921,928.00 ",365,"$11,749,928.00 ",365,12809729,366,0.000437307,2596729.84,N/A,1662.44,"1,526","1,597",1562
490046,YES,NO,NO,NO,"$24,640,107.00 ",365,"$19,666,864.00 ",365,16073385,366,0.000592466,3518064.19,N/A,702.07,"5,146","4,876",5011
490048,YES,NO,NO,NO,"$13,621,042.00 ",365,"$10,649,431.00 ",365,7505763,366,0.000311684,1850780.01,N/A,354.42,"5,416","5,027",5222
490050,YES,NO,NO,NO,"$19,949,182.00 ",365,"$18,065,043.00 ",365,15434130,366,0.000524278,3113168.37,N/A,607.68,"5,249","4,997",5123
490052,YES,NO,NO,NO,"$35,898,961.00 ",365,"$24,351,155.00 ",365,21930993,366,0.000807105,4792595.77,N/A,747.21,"6,512","6,316",6414
